,Ciphertext 1,Trace 1,Ciphertext 2,Trace 2,Ciphertext 3,Trace 3,Ciphertext 4,Trace 4,Ciphertext 5,Trace 5,Ciphertext 6,Trace 6,Ciphertext 7,Trace 7,Ciphertext 8,Trace 8,_,Cipherhex 1,Cipherhex 2,Cipherhex 3,Cipherhex 4,Cipherhex 5,Cipherhex 6,Cipherhex 7,Cipherhex 8
35,247,149.46,197,150.39,17,155.81,245,148.28,7,156.93,163,151.93,125,151.84,193,150.25,,F7,C5,11,F5,7,A3,7D,C1
36,232,149.38,183,149.82,51,154.75,21,156.65,215,149.86,234,148.89,219,150.03,210,148.89,,E8,B7,33,15,D7,EA,DB,D2
37,134,152.46,129,151.86,173,150.66,39,154.83,63,154.77,246,148.48,40,155.6,2,157.02,,86,81,AD,27,3F,F6,28,2
38,137,153.02,54,154.83,177,150.6,212,150.08,18,155.95,8,156.87,177,149.98,75,153.38,,89,36,B1,D4,12,8,B1,4B
39,80,153.47,212,150.35,11,155.99,53,154.46,241,149.27,97,154.24,206,149.89,129,151.49,,50,D4,B,35,F1,61,CE,81
40,124,153.25,120,153.41,30,154.77,137,152.18,43,154.47,249,148.35,25,154.72,250,149.23,,7C,78,1E,89,2B,F9,19,FA
41,157,150.72,138,151.42,90,154.54,152,152.33,46,155.34,131,151.61,126,153,19,156.7,,9D,8A,5A,98,2E,83,7E,13
42,253,147.62,115,152.57,62,154.86,60,154.86,16,156.84,222,150.16,211,150.75,90,154.23,,FD,73,3E,3C,10,DE,D3,5A
43,18,156.43,243,149.55,17,155.04,251,148.69,94,152.71,140,151.85,55,154.18,12,156.88,,12,F3,11,FB,5E,8C,37,C
44,171,151.71,7,156.11,235,148.58,121,153.34,163,151.16,173,151.68,149,152.32,80,153.22,,AB,7,EB,79,A3,AD,95,50
45,246,149.25,237,149.24,142,152.36,39,155.04,235,148.42,168,150.64,30,155.18,48,155.16,,F6,ED,8E,27,EB,A8,1E,30
46,4,155.68,196,149.58,165,150.94,29,154.89,115,152.57,165,151.76,209,149.79,95,154.27,,4,C4,A5,1D,73,A5,D1,5F
47,205,150.11,29,155.51,146,152.74,50,154.73,110,153.84,181,150.53,168,150.51,192,149.74,,CD,1D,92,32,6E,B5,A8,C0
48,6,156.66,9,156.8,168,152.08,170,150.51,173,151.53,153,152.08,98,153.77,18,154.96,,6,9,A8,AA,AD,99,62,12
49,29,155.52,244,149.7,182,150.14,192,150.92,252,148.2,215,149.18,12,155.85,123,152.23,,1D,F4,B6,C0,FC,D7,C,7B
50,60,154.11,250,147.76,246,149.51,126,152.22,209,149.84,201,150.91,23,155.18,128,152.77,,3C,FA,F6,7E,D1,C9,17,80
51,191,150.09,166,151.28,42,155.3,133,153.27,2,156.32,159,151.41,41,155.33,101,153.04,,BF,A6,2A,85,2,9F,29,65
52,68,154.58,159,150.63,253,148.35,255,148.26,230,148.38,75,153.56,178,150.62,25,156.21,,44,9F,FD,FF,E6,4B,B2,19
53,25,156.35,137,151.88,30,155.58,37,156.19,199,149.64,30,154.57,125,151.65,41,154.85,,19,89,1E,25,C7,1E,7D,29
54,89,152.8,136,151.39,86,154.02,18,156.88,237,148.34,72,154.23,29,156.4,34,154.66,,59,88,56,12,ED,48,1D,22
55,131,151.64,222,150.36,17,155.96,90,154.01,55,154.45,28,155.79,39,155.58,15,155.04,,83,DE,11,5A,37,1C,27,F
56,113,151.97,246,148.68,65,154.48,111,153.94,39,154.36,83,153.82,170,150.39,203,149.52,,71,F6,41,6F,27,53,AA,CB
57,172,151.28,127,152.6,98,154.35,181,151.74,90,152.96,51,155.39,138,151.84,189,150.09,,AC,7F,62,B5,5A,33,8A,BD
58,172,151.22,137,151.72,250,148.78,180,150.33,165,151.4,241,148.78,73,153.61,169,152.08,,AC,89,FA,B4,A5,F1,49,A9
59,173,150.29,222,150.26,153,151.28,53,154.5,213,150.03,115,152.3,93,152.68,213,150.46,,AD,DE,99,35,D5,73,5D,D5
60,41,154.88,98,154.41,5,155.64,78,154.89,75,153.43,236,148.66,202,149.4,104,152.86,,29,62,5,4E,4B,EC,CA,68
61,175,150.16,191,150.28,44,155.37,128,152.09,14,156.52,254,148.16,227,150.33,155,151.11,,AF,BF,2C,80,E,FE,E3,9B
62,228,149.24,102,153.68,194,150.85,205,150.85,19,155.04,117,151.82,204,149.37,114,153.33,,E4,66,C2,CD,13,75,CC,72
63,21,156.27,100,152.9,38,155.45,88,153.06,246,148.53,238,148.34,34,155.81,252,148.97,,15,64,26,58,F6,EE,22,FC
64,79,154.66,220,150.19,29,155.97,93,154.53,199,149.57,112,152.01,224,150.45,174,150.51,,4F,DC,1D,5D,C7,70,E0,AE
65,144,151.37,103,152.67,75,154.24,136,151.5,238,148.29,95,153.66,213,148.89,137,151.46,,90,67,4B,88,EE,5F,D5,89
66,210,150.49,90,154.19,169,151.61,214,150.47,168,151.39,35,154.88,131,153.2,206,150.76,,D2,5A,A9,D6,A8,23,83,CE
67,99,153.84,19,156.15,14,155.53,148,150.85,170,151.26,246,149.35,114,152.84,229,148.59,,63,13,E,94,AA,F6,72,E5
68,90,152.8,237,149.3,231,149.89,141,151.88,60,154.92,206,149.48,85,153.9,8,155.73,,5A,ED,E7,8D,3C,CE,55,8
69,226,148.85,57,155.66,9,156.51,251,148.92,155,151.19,248,149.62,170,151.4,209,150.13,,E2,39,9,FB,9B,F8,AA,D1
70,7,157.26,20,156.55,204,150.5,194,150.55,200,150.05,75,153.17,156,150.94,68,154.11,,7,14,CC,C2,C8,4B,9C,44
71,25,156.37,62,154.13,159,151.95,212,150.49,176,151.58,225,149.49,154,151.34,133,153.22,,19,3E,9F,D4,B0,E1,9A,85
72,243,149.8,209,150.01,170,150.81,26,154.85,200,149.88,25,155.97,136,151.49,158,152.28,,F3,D1,AA,1A,C8,19,88,9E
73,174,151.17,177,151.12,183,151.46,25,156.49,51,154.98,25,154.99,189,150.32,93,153.92,,AE,B1,B7,19,33,19,BD,5D
74,93,153.71,224,149.74,212,149.93,122,152.63,44,155.22,244,148.8,13,155.1,84,153.1,,5D,E0,D4,7A,2C,F4,D,54
75,128,151.49,220,149.55,101,153.78,164,150.99,64,154.5,210,150.88,143,151.49,41,154.92,,80,DC,65,A4,40,D2,8F,29
76,189,151.21,118,151.82,12,155.21,165,151.35,231,149.84,141,151.39,199,149.5,114,152.61,,BD,76,C,A5,E7,8D,C7,72
77,216,149.93,60,153.68,52,154.62,249,148.72,79,154.84,12,155.76,153,151.74,242,149.48,,D8,3C,34,F9,4F,C,99,F2
78,4,156.47,40,155.19,212,150.66,210,149.03,192,151.16,55,154.11,249,149.28,21,155.53,,4,28,D4,D2,C0,37,F9,15
79,146,151.71,101,153.55,239,149.46,201,149.89,195,150.12,119,152.78,99,153.01,217,148.86,,92,65,EF,C9,C3,77,63,D9
80,137,151.48,196,150.39,61,153.48,127,151.78,64,154.56,121,153.28,85,152.98,231,148.6,,89,C4,3D,7F,40,79,55,E7
81,139,153.12,72,154.48,172,150.43,73,155.15,19,156.76,244,149.69,13,156.22,157,150.85,,8B,48,AC,49,13,F4,D,9D
82,136,153.2,179,150.61,125,153.1,179,150.2,26,155.11,11,155.47,14,156.18,20,156.25,,88,B3,7D,B3,1A,B,E,14
83,187,150.8,64,155.36,101,153.64,117,153.47,153,151.09,68,154.95,209,148.99,142,152.36,,BB,40,65,75,99,44,D1,8E
84,117,153.68,15,156.99,110,152.42,254,147.64,229,148.81,180,151.01,160,151.21,141,151.63,,75,F,6E,FE,E5,B4,A0,8D
85,178,151.87,168,151.11,134,153,112,153.46,98,152.53,101,152.61,214,150.45,43,155.31,,B2,A8,86,70,62,65,D6,2B
86,54,154.34,223,150.06,246,148.75,128,152.4,210,150.81,159,153.22,151,151.42,105,153.81,,36,DF,F6,80,D2,9F,97,69
87,49,154.88,128,152.8,163,150.96,110,152.38,102,153.75,239,149.36,250,149.39,190,150.62,,31,80,A3,6E,66,EF,FA,BE
88,134,153.08,194,149.7,238,148.04,86,154.08,101,154.06,163,150.83,199,151.24,186,150.15,,86,C2,EE,56,65,A3,C7,BA
89,200,150.84,48,155.68,178,151.63,169,151.71,39,155.65,176,151.04,194,150.76,47,154.09,,C8,30,B2,A9,27,B0,C2,2F
90,68,155.15,42,154.42,137,152.77,252,148.43,183,149.77,242,149.77,5,157.14,171,150.69,,44,2A,89,FC,B7,F2,5,AB
91,94,154.52,67,154.66,190,150.44,56,155.56,115,153.36,230,149.92,222,148.55,76,154.42,,5E,43,BE,38,73,E6,DE,4C
92,238,148.18,230,148.62,172,151.15,196,150.78,17,155.23,208,150.44,209,150.71,121,153.34,,EE,E6,AC,C4,11,D0,D1,79
93,174,151.52,197,150.22,122,153.11,201,149.79,40,154.38,190,150.8,168,150.37,11,155.26,,AE,C5,7A,C9,28,BE,A8,B
94,21,156.44,26,156.02,63,153.56,14,155.34,171,150.59,52,155.25,129,153.34,124,153.08,,15,1A,3F,E,AB,34,81,7C
95,244,148.29,107,152.18,229,149.67,95,153.32,82,152.94,10,157.01,146,151.68,121,151.71,,F4,6B,E5,5F,52,A,92,79
96,244,149.16,202,149.21,188,150.46,91,153.38,1,155.58,183,150.34,14,155.26,10,157.01,,F4,CA,BC,5B,1,B7,E,A
97,170,151.02,103,153.47,102,153.88,120,152.01,37,155.82,72,155.13,221,148.59,9,156.54,,AA,67,66,78,25,48,DD,9
98,38,155.42,143,151.43,11,156.37,232,149.19,22,156.15,49,154.85,32,155.2,110,152.12,,26,8F,B,E8,16,31,20,6E
99,245,148.73,154,150.74,117,152.7,109,152.39,193,149.47,42,154.23,55,155,119,152.81,,F5,9A,75,6D,C1,2A,37,77
100,135,151.66,117,152.18,184,150.94,229,150.03,241,148.75,181,150.39,59,154.88,235,149.17,,87,75,B8,E5,F1,B5,3B,EB
101,129,152.81,8,155.89,39,155.56,80,154.35,6,155.37,19,156.82,92,153.54,20,155.77,,81,8,27,50,6,13,5C,14
102,43,154.67,224,149.11,92,154.36,122,152.39,122,153.1,237,149.8,93,154.11,154,152.19,,2B,E0,5C,7A,7A,ED,5D,9A
103,167,150.69,14,155.97,101,152.74,28,156.43,99,152.72,233,149.73,13,156.73,34,155.61,,A7,E,65,1C,63,E9,D,22
104,174,150.86,198,149.8,137,152.79,45,155.46,172,150.38,90,152.91,86,154.29,62,155.07,,AE,C6,89,2D,AC,5A,56,3E
105,126,151.56,58,155.23,186,151.48,45,155.57,117,153.54,27,155.51,118,153.74,161,150.62,,7E,3A,BA,2D,75,1B,76,A1
106,135,152.98,243,149.41,185,150.3,248,147.81,217,150.1,211,149.31,125,152.43,251,148.48,,87,F3,B9,F8,D9,D3,7D,FB
107,31,154.6,25,156.08,140,151.97,239,149.48,50,154.5,91,153.45,171,150.19,183,151.36,,1F,19,8C,EF,32,5B,AB,B7
108,80,153.01,243,149.08,182,150.94,3,156.3,28,156.53,131,152.83,110,152.36,226,148.66,,50,F3,B6,3,1C,83,6E,E2
109,200,149.39,90,153.63,222,149.18,34,155.76,97,153.78,37,155.08,5,157.29,234,148.6,,C8,5A,DE,22,61,25,5,EA
110,39,155.42,106,153.94,188,149.84,68,153.45,214,149.65,169,152.04,32,154.59,49,155,,27,6A,BC,44,D6,A9,20,31
111,2,155.72,184,150.81,153,152.53,67,154.34,162,151.28,93,153.98,84,153.82,207,150,,2,B8,99,43,A2,5D,54,CF
112,206,150.13,78,153.08,187,150.13,252,148.11,161,151.41,20,155.71,181,151.55,114,153.05,,CE,4E,BB,FC,A1,14,B5,72
113,16,155.26,24,155.27,168,152.1,151,152.28,4,156.5,106,153.13,106,152.27,96,153.15,,10,18,A8,97,4,6A,6A,60
114,98,153.5,109,153.85,241,148.53,79,153.57,167,150.53,29,155.94,177,151.41,239,148.69,,62,6D,F1,4F,A7,1D,B1,EF
115,160,150.93,147,150.99,36,156.26,251,149.12,26,155.35,201,150.32,226,149.09,99,153.48,,A0,93,24,FB,1A,C9,E2,63
116,212,150.39,110,153.81,183,151.3,188,151.24,41,155.45,204,149.17,39,156.27,55,154.57,,D4,6E,B7,BC,29,CC,27,37
117,48,155.69,255,147.95,143,151.46,48,154.01,202,150.75,63,155.44,143,152.47,78,153.69,,30,FF,8F,30,CA,3F,8F,4E
118,168,152.06,243,149.01,222,150.07,47,155.51,6,156.62,116,153.57,142,151.1,205,150.24,,A8,F3,DE,2F,6,74,8E,CD
119,205,149.68,225,149.3,148,152.82,47,154.29,149,151.21,136,152.95,150,151.62,186,150.18,,CD,E1,94,2F,95,88,96,BA
120,106,152.27,119,152.33,78,153.35,202,149.8,28,155.52,244,149.8,22,155.53,173,150.37,,6A,77,4E,CA,1C,F4,16,AD
121,77,154.84,176,150.86,11,156.57,45,155.73,75,154.95,198,149.74,36,155.14,250,149.54,,4D,B0,B,2D,4B,C6,24,FA
122,104,153.89,83,153.43,211,150.17,203,151.02,147,151.04,144,152.39,180,150.22,113,153.55,,68,53,D3,CB,93,90,B4,71
123,235,148.94,28,154.77,237,148.63,116,153.59,132,151.54,22,154.94,252,148.76,126,153.16,,EB,1C,ED,74,84,16,FC,7E
124,97,152.75,242,149.78,176,150.04,249,148.42,159,151.68,7,155.8,212,150.49,228,149.26,,61,F2,B0,F9,9F,7,D4,E4
125,164,150.98,3,155.84,84,154.21,251,149.47,33,155.2,50,154.93,39,155.83,57,154.65,,A4,3,54,FB,21,32,27,39
126,225,149.01,39,155.82,148,151.3,104,153.79,48,154.28,103,153.73,115,152.84,126,151.65,,E1,27,94,68,30,67,73,7E
127,223,148.5,231,148.66,146,152.21,60,154.62,195,150.54,215,149.46,93,153.65,139,151.43,,DF,E7,92,3C,C3,D7,5D,8B
128,0,155.87,168,151.72,43,155.27,157,151.76,252,148.01,107,153.53,38,155.87,118,153.19,,0,A8,2B,9D,FC,6B,26,76
129,44,155.35,217,149.45,26,156.39,175,150.27,98,153.91,21,155.13,204,149.97,47,154.1,,2C,D9,1A,AF,62,15,CC,2F
130,129,152.21,219,149.82,82,154.45,45,155.46,179,151.74,79,153.14,103,153.3,91,152.69,,81,DB,52,2D,B3,4F,67,5B
131,218,150.12,120,152.23,174,150.71,119,152.97,244,148.53,14,156.88,202,149.96,216,149.63,,DA,78,AE,77,F4,E,CA,D8
132,4,155.5,83,154.83,135,152.85,153,150.89,26,155.74,33,156.25,205,150.85,154,151.56,,4,53,87,99,1A,21,CD,9A
133,79,154.84,248,149.05,224,148.62,142,152.11,39,155.7,114,152.3,9,155.36,155,152.02,,4F,F8,E0,8E,27,72,9,9B
134,111,152.96,196,149.61,218,150.61,32,156.04,196,150.18,143,152.71,184,151.11,155,150.68,,6F,C4,DA,20,C4,8F,B8,9B
135,117,152.37,148,152.7,189,150.03,159,152.24,47,154.31,249,147.74,115,152.72,227,149.58,,75,94,BD,9F,2F,F9,73,E3
136,163,151.69,173,150.05,154,151.97,87,152.87,161,151.57,182,151.45,3,156.1,15,155.38,,A3,AD,9A,57,A1,B6,3,F
137,69,153.39,55,155.45,81,154.56,130,151.47,17,156.87,23,155.78,16,157.88,55,155.18,,45,37,51,82,11,17,10,37
138,87,154.6,130,151.62,26,155.89,40,155.13,131,151.66,247,149.51,98,153.53,81,153.47,,57,82,1A,28,83,F7,62,51
139,82,153.63,119,152.93,174,151.1,40,155.83,203,151.09,61,154.67,245,147.98,156,152.55,,52,77,AE,28,CB,3D,F5,9C
140,71,155.05,227,150.08,158,151.76,92,154.41,250,147.73,120,152.73,128,152.71,230,149.82,,47,E3,9E,5C,FA,78,80,E6
141,151,152.38,108,152.52,210,148.95,116,153.64,156,152.07,243,147.87,234,149.89,220,150.37,,97,6C,D2,74,9C,F3,EA,DC
142,213,149.35,144,152.36,253,149.22,84,154.28,67,154.02,4,156.21,103,153.87,167,150.99,,D5,90,FD,54,43,4,67,A7
143,222,150.24,162,150.85,144,151.3,215,150.56,77,154.89,136,151.83,156,151.22,21,156.67,,DE,A2,90,D7,4D,88,9C,15
144,120,153.67,166,151.57,213,150.42,223,149.82,159,150.69,162,150.8,168,150.44,64,154.28,,78,A6,D5,DF,9F,A2,A8,40
145,141,153.01,17,156.6,155,151.68,223,148.97,192,149.83,104,152.78,91,154.15,18,156.88,,8D,11,9B,DF,C0,68,5B,12
146,212,150.72,244,148.32,180,150.94,100,153.95,149,152.76,82,153.99,50,154.01,139,152.96,,D4,F4,B4,64,95,52,32,8B
147,247,149.27,29,154.97,249,148.8,239,148.35,244,148.89,203,149.69,122,153.43,10,155.19,,F7,1D,F9,EF,F4,CB,7A,A
148,22,154.87,177,151.57,166,151.3,6,157.2,148,152.77,235,148.86,13,156.61,228,149.8,,16,B1,A6,6,94,EB,D,E4
149,229,149.85,2,155.74,42,155.25,45,155.08,34,156.22,70,153.53,218,148.91,143,151.34,,E5,2,2A,2D,22,46,DA,8F
150,216,150.64,190,151.04,97,154.13,93,154.05,10,156.71,46,155.1,252,149.48,79,154.35,,D8,BE,61,5D,A,2E,FC,4F
151,190,150.6,95,153.76,139,152.24,119,152.27,173,150.14,45,155.81,48,155.86,115,152.96,,BE,5F,8B,77,AD,2D,30,73
152,116,152.24,92,154.58,148,151.22,130,151.48,211,149.58,130,152.87,158,152.14,21,156.24,,74,5C,94,82,D3,82,9E,15
153,89,152.79,136,152.95,61,154.7,31,156.41,123,153.32,23,156.12,78,153.61,118,153.6,,59,88,3D,1F,7B,17,4E,76
154,153,151.58,207,149.55,41,155.92,200,150.49,169,150.63,164,151.63,191,150.02,8,157.11,,99,CF,29,C8,A9,A4,BF,8
155,167,151.76,59,154.27,28,155.35,185,150.6,175,151.95,117,152.99,138,151.56,15,156.3,,A7,3B,1C,B9,AF,75,8A,F
156,37,155.03,87,153.98,17,155.84,85,153.5,6,156.8,58,153.69,202,149.85,98,152.8,,25,57,11,55,6,3A,CA,62
157,175,151.98,234,149.96,201,149.68,65,155.19,129,151.96,129,153.05,4,156.88,201,151.01,,AF,EA,C9,41,81,81,4,C9
158,107,152.68,68,154.92,210,149.48,194,150.39,129,151.49,54,153.92,0,155.64,207,149.08,,6B,44,D2,C2,81,36,0,CF
159,177,151.15,21,156.54,241,149.29,230,150.27,170,151.81,245,147.86,58,155.04,160,151.1,,B1,15,F1,E6,AA,F5,3A,A0
160,119,152.13,189,151.39,99,152.54,192,150.03,128,153.36,249,148.31,128,151.97,27,155.32,,77,BD,63,C0,80,F9,80,1B
161,207,149.11,169,151.9,175,150.64,156,151.49,241,149.11,241,149.24,229,148.71,151,152.39,,CF,A9,AF,9C,F1,F1,E5,97
162,35,155,66,153.56,73,153.77,58,154.92,160,152.21,6,157.26,198,149.58,195,150.48,,23,42,49,3A,A0,6,C6,C3
163,82,154.88,186,150.75,11,155.22,224,149.82,105,153.09,120,153.34,30,155.79,166,151.99,,52,BA,B,E0,69,78,1E,A6
164,247,147.94,108,153.6,72,154.34,206,149.19,195,150.56,222,149.37,84,154.8,40,154.38,,F7,6C,48,CE,C3,DE,54,28
165,203,149.73,107,152.55,133,153.16,129,152.42,27,155.75,206,150.6,208,149.66,149,152.1,,CB,6B,85,81,1B,CE,D0,95
166,247,147.92,120,152.57,83,153.46,206,150.56,240,148.98,244,148.93,47,155.63,36,154.42,,F7,78,53,CE,F0,F4,2F,24
167,238,148.66,189,151.3,166,151.18,65,154.41,139,151.67,169,151.14,213,148.9,134,151.49,,EE,BD,A6,41,8B,A9,D5,86
168,244,149.17,209,149.97,207,150.12,97,154.37,153,151.43,52,154.37,146,150.94,77,154.34,,F4,D1,CF,61,99,34,92,4D
169,161,151.09,54,154.37,144,151.71,110,153.05,189,150.27,80,154.79,103,153.42,154,150.94,,A1,36,90,6E,BD,50,67,9A
170,24,156.65,214,149.75,135,152.88,97,153.46,33,155.51,164,151.83,171,151.7,235,149.73,,18,D6,87,61,21,A4,AB,EB
171,129,152.35,7,156.97,210,149.49,37,156.07,165,150.7,238,149.51,213,149.05,107,154.12,,81,7,D2,25,A5,EE,D5,6B
172,141,151.1,51,154.65,153,150.9,87,153.37,215,148.91,207,150.09,20,156.01,67,154.88,,8D,33,99,57,D7,CF,14,43
173,62,154.33,100,152.51,148,152.13,125,153.06,30,155.21,6,156.04,62,154.39,43,155.08,,3E,64,94,7D,1E,6,3E,2B
174,81,154.84,143,152.92,30,155.13,235,148.37,70,155.17,163,151.65,52,154.9,196,149.71,,51,8F,1E,EB,46,A3,34,C4
175,230,148.34,221,149.85,106,152.18,39,154.82,117,153,205,149.22,4,156.45,128,153.45,,E6,DD,6A,27,75,CD,4,80
176,139,152.39,131,153.1,152,150.81,138,152.8,48,155.8,173,151.56,165,151.72,116,153.71,,8B,83,98,8A,30,AD,A5,74
177,186,151.43,19,155.19,62,154.4,123,151.78,243,148.05,229,150.14,235,149.58,34,154.63,,BA,13,3E,7B,F3,E5,EB,22
178,53,154.6,166,151.88,169,151.02,221,149.84,7,155.74,61,155.01,166,151.48,131,152.48,,35,A6,A9,DD,7,3D,A6,83
179,124,151.91,36,154.43,99,152.81,23,156.19,210,150.35,83,153.37,17,156.24,23,156.67,,7C,24,63,17,D2,53,11,17
180,231,148.27,141,152.34,124,153.57,96,152.87,28,156.38,223,149.82,204,149.55,78,154.08,,E7,8D,7C,60,1C,DF,CC,4E
181,109,153.42,33,155.56,166,151.72,43,155.43,68,154.58,11,156.54,5,156.85,87,153.34,,6D,21,A6,2B,44,B,5,57
182,150,151.8,231,149.2,46,154.47,222,150.13,5,156.63,108,153.76,179,150.6,34,156.39,,96,E7,2E,DE,5,6C,B3,22
183,182,150.47,214,150.27,146,152.69,94,154.12,187,150.4,18,155.51,137,152.77,104,153.83,,B6,D6,92,5E,BB,12,89,68
184,171,151.96,230,150.02,178,151.41,18,156.46,40,155.58,159,151.16,17,156.72,133,151.65,,AB,E6,B2,12,28,9F,11,85
185,223,150.33,181,150.77,36,156.08,156,151.77,137,152.51,241,148.8,238,148.79,100,153.62,,DF,B5,24,9C,89,F1,EE,64
186,93,153.87,61,155.21,243,147.87,208,150.32,5,156.81,66,153.62,178,150.34,66,155.01,,5D,3D,F3,D0,5,42,B2,42
187,61,154.23,186,151.4,234,148.88,194,150.22,147,152.22,193,149.6,84,153.66,143,152.68,,3D,BA,EA,C2,93,C1,54,8F
188,209,150.47,58,154.94,138,152.65,192,151.26,64,154.12,112,153.76,13,157.01,40,155.54,,D1,3A,8A,C0,40,70,D,28
189,23,155.32,79,154.11,135,152.76,54,155.3,138,152.02,152,152.56,197,150.09,39,155.89,,17,4F,87,36,8A,98,C5,27
